Voz,Compasso,Grupos (notas),Peso Métrico,Tensão Prolongacional
Voz 2,21,"E4, D4, D4; A4, G4, F4, E4; G4, F4; A4","3, 1, 2, 1, 1, 1, 1, 1, 1, 1","64.0, 62.0, 62.0, 69.0, 67.0, 65.0, 64.0, 67.0, 65.0, 69.0"
Voz 2,22,"G4, G4, A4, B-4, C5, D5; G4","3, 1, 1, 1, 2, 1, 1","67.0, 67.0, 69.0, 70.0, 72.0, 74.0, 67.0"
Voz 2,23,"G4, F4, F4, E4, D4","3, 1, 2, 1, 1","67.0, 65.0, 65.0, 64.0, 62.0"
Voz 2,24,"E4; A4, A4, G4, G4, F4, G4, A4","3, 1, 1, 1, 2, 1, 1, 1","64.0, 69.0, 69.0, 67.0, 67.0, 65.0, 67.0, 69.0"
Voz 2,25,"B-4, C5, B-4, A4; D5; G4; C5, C5, D5, C5, B-4","3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1","70.0, 72.0, 70.0, 69.0, 74.0, 67.0, 72.0, 72.0, 74.0, 72.0, 70.0"
Voz 2,26,"A4, B-4, A4, G4, F4, G4, F4, E4, D4, D4; G4","3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1","69.0, 70.0, 69.0, 67.0, 65.0, 67.0, 65.0, 64.0, 62.0, 62.0, 67.0"
Voz 2,27,A4; F5; D5,"3, 1, 1","69.0, 77.0, 74.0"
Voz 3,4,"G3, A3, B3, C4, D4, C4, B3; E4","1, 1, 1, 2, 1, 1, 1, 1","55.0, 57.0, 59.0, 60.0, 62.0, 60.0, 59.0, 64.0"
Voz 3,5,"A3; D4, E4, D4, C4, B3, C4, B-3","3, 1, 1, 1, 1, 2, 1, 1","57.0, 62.0, 64.0, 62.0, 60.0, 59.0, 60.0, 58.0"
Voz 3,6,"A3; D4; G3; C4, C4; A3, B3, C4, D4","3, 1, 1, 1, 2, 1, 1, 1, 1","57.0, 62.0, 55.0, 60.0, 60.0, 57.0, 59.0, 60.0, 62.0"
Voz 3,7,"G3, G3, A3, B3, C4, D4, C4","3, 1, 2, 1, 1, 1, 1","55.0, 55.0, 57.0, 59.0, 60.0, 62.0, 60.0"
Voz 3,8,"B3; E4; A3; D4, D4, E4, D4, C4, B3; E4","3, 1, 1, 1, 2, 1, 1, 1, 1, 1","59.0, 64.0, 57.0, 62.0, 62.0, 64.0, 62.0, 60.0, 59.0, 64.0"
Voz 3,9,"E4, D4, D4; B3, C4; A3; E4, D4, C4, B3","3, 1, 2, 1, 1, 1, 1, 1, 1, 1","64.0, 62.0, 62.0, 59.0, 60.0, 57.0, 64.0, 62.0, 60.0, 59.0"
Voz 3,10,"C4; A3, B3, C4, D4, C4, B3, A3, G3","3, 1, 1, 1, 1, 1, 1, 1, 2","60.0, 57.0, 59.0, 60.0, 62.0, 60.0, 59.0, 57.0, 55.0"
Voz 3,12,"E3, F#3, G#3, A3, B3, A3, G3; C4","1, 1, 1, 2, 1, 1, 1, 1","52.0, 54.0, 56.0, 57.0, 59.0, 57.0, 55.0, 60.0"
Voz 3,13,"F#3; B3, C4, B3, A3, G#3, A3, G#3","3, 1, 1, 1, 1, 2, 1, 1","54.0, 59.0, 60.0, 59.0, 57.0, 56.0, 57.0, 56.0"
Voz 3,14,"A3, G3, A3, B3, C4, D4, C4","3, 1, 2, 1, 1, 1, 1","57.0, 55.0, 57.0, 59.0, 60.0, 62.0, 60.0"
