Voz,Compasso,Grupos (notas),Peso Métrico,Tensão Prolongacional
Voz 1,18,"74, 82, 81, 79, 77, 79, 77, 79, 76, 77, 79, 79, 77, 79","3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1","74.0, 82.0, 81.0, 79.0, 77.0, 79.0, 77.0, 79.0, 76.0, 77.0, 79.0, 79.0, 77.0, 79.0"
Voz 1,19,"81, 73, 74, 79, 76, 74, 74","3, 1, 1, 1, 1, 1, 2","81.0, 73.0, 74.0, 79.0, 76.0, 74.0, 74.0"
Voz 1,20,67,1,67.0
Voz 1,21,"69, 71, 72, 74, 72, 71, 76, 69, 74","3, 1, 1, 1, 1, 2, 1, 1, 1","69.0, 71.0, 72.0, 74.0, 72.0, 71.0, 76.0, 69.0, 74.0"
Voz 1,22,"74, 76, 74, 72, 71, 72, 74, 76, 77, 79, 81, 79, 77, 76, 74, 72","3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1","74.0, 76.0, 74.0, 72.0, 71.0, 72.0, 74.0, 76.0, 77.0, 79.0, 81.0, 79.0, 77.0, 76.0, 74.0, 72.0"
Voz 1,23,"71, 72, 74, 67, 72, 72, 71","3, 1, 1, 2, 1, 1, 1","71.0, 72.0, 74.0, 67.0, 72.0, 72.0, 71.0"
Voz 1,24,"72, 71, 70, 69, 74, 74, 72","3, 1, 1, 2, 1, 1, 1","72.0, 71.0, 70.0, 69.0, 74.0, 74.0, 72.0"
Voz 1,25,"74, 76, 77, 77, 81, 79, 77, 76, 77, 76, 74","3, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1","74.0, 76.0, 77.0, 77.0, 81.0, 79.0, 77.0, 76.0, 77.0, 76.0, 74.0"
Voz 1,26,"72, 67, 69, 71, 72, 74, 76, 77","3, 1, 1, 1, 1, 1, 1, 1","72.0, 67.0, 69.0, 71.0, 72.0, 74.0, 76.0, 77.0"
Voz 1,27,"77, 72, 74, 76, 77, 79, 81, 83, 84","3, 1, 1, 1, 1, 1, 1, 1, 2","77.0, 72.0, 74.0, 76.0, 77.0, 79.0, 81.0, 83.0, 84.0"
Voz 2,1,"60, 62, 64, 65, 67, 65, 64, 69","1, 1, 1, 2, 1, 1, 1, 1","60.0, 62.0, 64.0, 65.0, 67.0, 65.0, 64.0, 69.0"
Voz 2,2,"62, 67, 69, 67, 65, 64, 65, 64, 62, 60, 62, 60, 59","3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1","62.0, 67.0, 69.0, 67.0, 65.0, 64.0, 65.0, 64.0, 62.0, 60.0, 62.0, 60.0, 59.0"
Voz 2,3,"57, 66, 67, 67, 65, 64, 65, 62","3, 1, 1, 2, 1, 1, 1, 1","57.0, 66.0, 67.0, 67.0, 65.0, 64.0, 65.0, 62.0"
Voz 2,4,"67, 65, 64, 62, 67","3, 1, 1, 1, 1","67.0, 65.0, 64.0, 62.0, 67.0"
Voz 2,5,"67, 65, 64, 65, 65, 65, 64, 62","3, 1, 1, 1, 2, 1, 1, 1","67.0, 65.0, 64.0, 65.0, 65.0, 65.0, 64.0, 62.0"
Voz 2,6,"60, 65, 67, 65, 64, 65, 62, 67","3, 1, 1, 1, 1, 2, 1, 1","60.0, 65.0, 67.0, 65.0, 64.0, 65.0, 62.0, 67.0"
Voz 2,7,67,3,67.0
Voz 2,9,"67, 69, 71, 72, 74, 72, 71, 76","1, 1, 1, 2, 1, 1, 1, 1","67.0, 69.0, 71.0, 72.0, 74.0, 72.0, 71.0, 76.0"
Voz 2,10,"69, 74, 76, 74, 72, 71, 62","3, 1, 1, 1, 1, 2, 1","69.0, 74.0, 76.0, 74.0, 72.0, 71.0, 62.0"
Voz 2,11,"64, 66, 67, 69, 67, 65, 71, 64, 69","3, 1, 1, 1, 1, 2, 1, 1, 1","64.0, 66.0, 67.0, 69.0, 67.0, 65.0, 71.0, 64.0, 69.0"
Voz 2,12,"69, 71, 69, 68, 66, 65, 64, 62, 64, 66, 68","3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1","69.0, 71.0, 69.0, 68.0, 66.0, 65.0, 64.0, 62.0, 64.0, 66.0, 68.0"
Voz 2,13,"69, 68, 69, 71, 68, 66, 68, 69, 71","3, 1, 1, 1, 1, 1, 1, 1, 2","69.0, 68.0, 69.0, 71.0, 68.0, 66.0, 68.0, 69.0, 71.0"
Voz 2,14,"60, 62, 64, 65, 67, 65, 64, 69","1, 1, 1, 2, 1, 1, 1, 1","60.0, 62.0, 64.0, 65.0, 67.0, 65.0, 64.0, 69.0"
Voz 2,15,"62, 67, 69, 67, 65, 64, 64, 66, 67","3, 1, 1, 1, 1, 2, 1, 1, 1","62.0, 67.0, 69.0, 67.0, 65.0, 64.0, 64.0, 66.0, 67.0"
Voz 2,16,"67, 66, 68, 69, 69, 67, 69, 71","3, 1, 1, 1, 2, 1, 1, 1","67.0, 66.0, 68.0, 69.0, 69.0, 67.0, 69.0, 71.0"
Voz 2,17,"72, 74, 72, 71, 76, 69, 74, 76, 74, 72","3, 1, 1, 1, 1, 2, 1, 1, 1, 1","72.0, 74.0, 72.0, 71.0, 76.0, 69.0, 74.0, 76.0, 74.0, 72.0"
Voz 2,18,"71, 79, 73, 74, 76, 73, 74, 76","3, 1, 1, 1, 2, 1, 1, 1","71.0, 79.0, 73.0, 74.0, 76.0, 73.0, 74.0, 76.0"
Voz 2,19,"69, 64, 66, 67, 69, 71, 69","3, 1, 2, 1, 1, 1, 1","69.0, 64.0, 66.0, 67.0, 69.0, 71.0, 69.0"
Voz 2,20,"67, 72, 66, 71, 71, 72, 71, 69, 67, 66, 64, 62","3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1","67.0, 72.0, 66.0, 71.0, 71.0, 72.0, 71.0, 69.0, 67.0, 66.0, 64.0, 62.0"
Voz 2,21,"64, 62, 62, 69, 67, 65, 64, 67, 65, 69","3, 1, 2, 1, 1, 1, 1, 1, 1, 1","64.0, 62.0, 62.0, 69.0, 67.0, 65.0, 64.0, 67.0, 65.0, 69.0"
Voz 2,22,"67, 67, 69, 70, 72, 74, 67","3, 1, 1, 1, 2, 1, 1","67.0, 67.0, 69.0, 70.0, 72.0, 74.0, 67.0"
Voz 2,23,"67, 65, 65, 64, 62","3, 1, 2, 1, 1","67.0, 65.0, 65.0, 64.0, 62.0"
